id,query,intent,pageType,cluster,existingUrl,existingTitle,gap,priority,productCta,uniqueValueHint,notes
dm-skills,что такое agent skills cursor,informational,entity,prompts-skills,https://proektmap.ru/ai-skills,Продукт: /ai-skills,weak,P1,/ai-skills,Карточка Skill + trust levels,Поискового blog-актива нет — есть продукт
dm-mcp,что такое mcp сервер,informational,entity,mcp-tools,https://proektmap.ru/blog/оказываем-сервер-где-собеседник-с-той-стороны-тебя-запоминает--mrbsd56r,"«Показываем HN: MCP-сервер, где собеседник с той стороны тебя запоминает»",weak,P1,/mcp,Entity + каталог MCP ProektMap,
dm-ui-agent,дизайн с AI агентом,how-to,guide,ui-design,https://proektmap.ru/blog/onlook-instrument-dizayna-dlya-dizaynerov,Onlook Инструмент дизайна для дизайнеров,weak,P1,/resheniya/designer-agent,Маршрут designer-agent + UI-Атлас,
dm-style-builder,дизайн система для AI агента,commercial,guide,microservices,https://proektmap.ru/services/site-style-builder,Продукт: /services/site-style-builder,weak,P1,/services/site-style-builder,Конструктор стиля → DESIGN.md,Поискового blog-актива нет — есть продукт
dm-voice-guide,голосовой гид для сайта,commercial,commercial,microservices,https://proektmap.ru/services/voice-guide-builder,Продукт: /services/voice-guide-builder,weak,P1,/services/voice-guide-builder,Микросервис voice-guide-builder,Поискового blog-актива нет — есть продукт
dm-ozon-ai,ai для карточек ozon,commercial,guide,marketplace,https://proektmap.ru/blog/ozon-i-wildberries-obdirayut-prodavtsov-kak-snizit-komissii,Ozon и Wildberries обдирают продавцов: как снизить комиссии,weak,P3,/services,Спутник — не раздувать,SATELLITE: вне ядра вайбкодинга
dm-vibecoding,что такое вайбкодинг,informational,entity,cursor-vibe,https://proektmap.ru/blog/chto-takoe-vaybkodling,Что такое вайбкодинг: определение для практики в России,covered,P0,/vaibik,Определение + Вайбик + отличие от «просто чата»,Ядро продукта
dm-learn-ai-ru,обучение AI инженерии Россия,commercial,guide,resheniya-hub,https://proektmap.ru/blog/obuchenie-ai-inzhenerii-rossiya,Обучение AI-инженерии в России: карта ProektMap,covered,P0,/agent-engineering,Трек обучения: агенты → маршруты /resheniya,Ядро: обучающие материалы
dm-resheniya,готовые AI решения для проекта,commercial,commercial,resheniya-hub,https://proektmap.ru/blog/gotovye-ai-resheniya-proektmap,Готовые AI-решения ProektMap: зачем маршрут вместо курса,covered,P0,/resheniya,Хаб маршрутов как ответ на спрос,
dm-faq-agents,чем агент отличается от чата gpt,informational,faq,ai-agents,https://proektmap.ru/blog/sozdaem-sobstvennyh-ai-agentov-s-pomoshchyu-autogpt,Создаем собственных AI-агентов с помощью AutoGPT,weak,P1,/agent-engineering,FAQ-хаб с цитируемыми ответами,GEO-friendly: прямой ответ сверху
dm-case-saas,кейс saas собранный с AI,informational,case,saas-product,https://proektmap.ru/resheniya/saas-product,Продукт: /resheniya/saas-product,weak,P2,/resheniya/saas-product,Реальный кейс / цифры ProektMap или партнёра,Не выдумывать — только факты | Поискового blog-актива нет — есть продукт
